73257.700925831 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73257.735959815 [MEMLOG_E_WCET_START]	diff = 0.035033984
73257.736874080 [MEMLOG_E_S1_DONE]	diff = 0.000914265
73257.736874600 [MEMLOG_E_S1_RUN]	diff = 0.000000520
73257.767930590 [MEMLOG_E_WCET_START]	diff = 0.031055990
73257.768870323 [MEMLOG_E_S1_DONE]	diff = 0.000939733
73257.768870844 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73257.799960583 [MEMLOG_E_WCET_START]	diff = 0.031089739
73257.800973389 [MEMLOG_E_S1_DONE]	diff = 0.001012806
73257.800974326 [MEMLOG_E_S1_RUN]	diff = 0.000000937
73257.835951539 [MEMLOG_E_WCET_START]	diff = 0.034977213
73257.836874970 [MEMLOG_E_S1_DONE]	diff = 0.000923431
73257.836875335 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73257.868023147 [MEMLOG_E_WCET_START]	diff = 0.031147812
73257.868921630 [MEMLOG_E_S1_DONE]	diff = 0.000898483
73257.868922099 [MEMLOG_E_S1_RUN]	diff = 0.000000469
73257.899993401 [MEMLOG_E_WCET_START]	diff = 0.031071302
73257.900954436 [MEMLOG_E_S1_DONE]	diff = 0.000961035
73257.900955217 [MEMLOG_E_S1_RUN]	diff = 0.000000781
73257.935960034 [MEMLOG_E_WCET_START]	diff = 0.035004817
73257.936874090 [MEMLOG_E_S1_DONE]	diff = 0.000914056
73257.936874819 [MEMLOG_E_S1_RUN]	diff = 0.000000729
73257.968014454 [MEMLOG_E_WCET_START]	diff = 0.031139635
73257.968910386 [MEMLOG_E_S1_DONE]	diff = 0.000895932
73257.968910750 [MEMLOG_E_S1_RUN]	diff = 0.000000364
73257.999950490 [MEMLOG_E_WCET_START]	diff = 0.031039740
73258.000898348 [MEMLOG_E_S1_DONE]	diff = 0.000947858
73258.000899181 [MEMLOG_E_S1_RUN]	diff = 0.000000833
73258.035963737 [MEMLOG_E_WCET_START]	diff = 0.035064556
73258.036872742 [MEMLOG_E_S1_DONE]	diff = 0.000909005
73258.036873158 [MEMLOG_E_S1_RUN]	diff = 0.000000416
73258.067955137 [MEMLOG_E_WCET_START]	diff = 0.031081979
73258.068867995 [MEMLOG_E_S1_DONE]	diff = 0.000912858
73258.068868516 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73258.099942787 [MEMLOG_E_WCET_START]	diff = 0.031074271
73258.100961009 [MEMLOG_E_S1_DONE]	diff = 0.001018222
73258.100961686 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73258.135965149 [MEMLOG_E_WCET_START]	diff = 0.035003463
73258.136956132 [MEMLOG_E_S1_DONE]	diff = 0.000990983
73258.136956496 [MEMLOG_E_S1_RUN]	diff = 0.000000364
73258.167929934 [MEMLOG_E_WCET_START]	diff = 0.030973438
73258.168843678 [MEMLOG_E_S1_DONE]	diff = 0.000913744
73258.168844355 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73258.200121541 [MEMLOG_E_WCET_START]	diff = 0.031277186
73258.201027628 [MEMLOG_E_S1_DONE]	diff = 0.000906087
73258.201028201 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73258.235979529 [MEMLOG_E_WCET_START]	diff = 0.034951328
73258.236910304 [MEMLOG_E_S1_DONE]	diff = 0.000930775
73258.236910825 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73258.267952856 [MEMLOG_E_WCET_START]	diff = 0.031042031
73258.268846704 [MEMLOG_E_S1_DONE]	diff = 0.000893848
73258.268847485 [MEMLOG_E_S1_RUN]	diff = 0.000000781
73258.299955401 [MEMLOG_E_WCET_START]	diff = 0.031107916
73258.300945395 [MEMLOG_E_S1_DONE]	diff = 0.000989994
73258.300946280 [MEMLOG_E_S1_RUN]	diff = 0.000000885
73258.332075342 [MEMLOG_E_WCET_START]	diff = 0.031129062
73258.332985128 [MEMLOG_E_S1_DONE]	diff = 0.000909786
73258.332985700 [MEMLOG_E_S1_RUN]	diff = 0.000000572
73258.367926976 [MEMLOG_E_WCET_START]	diff = 0.034941276
73258.368851189 [MEMLOG_E_S1_DONE]	diff = 0.000924213
73258.368851918 [MEMLOG_E_S1_RUN]	diff = 0.000000729
73258.399954157 [MEMLOG_E_WCET_START]	diff = 0.031102239
73258.400898161 [MEMLOG_E_S1_DONE]	diff = 0.000944004
73258.400898786 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73258.432022587 [MEMLOG_E_WCET_START]	diff = 0.031123801
73258.432932269 [MEMLOG_E_S1_DONE]	diff = 0.000909682
73258.432932842 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73258.467985367 [MEMLOG_E_WCET_START]	diff = 0.035052525
73258.468902340 [MEMLOG_E_S1_DONE]	diff = 0.000916973
73258.468902965 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73258.499952496 [MEMLOG_E_WCET_START]	diff = 0.031049531
73258.500925302 [MEMLOG_E_S1_DONE]	diff = 0.000972806
73258.500925666 [MEMLOG_E_S1_RUN]	diff = 0.000000364
73258.532038582 [MEMLOG_E_WCET_START]	diff = 0.031112916
73258.532938628 [MEMLOG_E_S1_DONE]	diff = 0.000900046
73258.532938993 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73258.567955789 [MEMLOG_E_WCET_START]	diff = 0.035016796
73258.568901459 [MEMLOG_E_S1_DONE]	diff = 0.000945670
73258.568902293 [MEMLOG_E_S1_RUN]	diff = 0.000000834
