72186.584319070 MEMLOG_E_WCET_START           diff = 0.009997673
72186.584320060 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.594319921 MEMLOG_E_WCET_START           diff = 0.009999861
72186.594320911 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.604318845 MEMLOG_E_WCET_START           diff = 0.009997934
72186.604319886 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.614319070 MEMLOG_E_WCET_START           diff = 0.009999184
72186.614320112 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.624319452 MEMLOG_E_WCET_START           diff = 0.009999340
72186.624320494 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.634322699 MEMLOG_E_WCET_START           diff = 0.010002205
72186.634323740 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.644320529 MEMLOG_E_WCET_START           diff = 0.009996789
72186.644321570 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.654335546 MEMLOG_E_WCET_START           diff = 0.010013976
72186.654336640 MEMLOG_E_S1_DONE              diff = 0.000001094
72186.664325251 MEMLOG_E_WCET_START           diff = 0.009988611
72186.664326240 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.674323914 MEMLOG_E_WCET_START           diff = 0.009997674
72186.674324956 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.684322942 MEMLOG_E_WCET_START           diff = 0.009997986
72186.684323931 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.694323063 MEMLOG_E_WCET_START           diff = 0.009999132
72186.694324105 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.704322768 MEMLOG_E_WCET_START           diff = 0.009998663
72186.704323810 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.714322108 MEMLOG_E_WCET_START           diff = 0.009998298
72186.714323150 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.724322542 MEMLOG_E_WCET_START           diff = 0.009999392
72186.724323584 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.734322351 MEMLOG_E_WCET_START           diff = 0.009998767
72186.734323393 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.744322264 MEMLOG_E_WCET_START           diff = 0.009998871
72186.744323254 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.754333063 MEMLOG_E_WCET_START           diff = 0.010009809
72186.754334105 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.764325007 MEMLOG_E_WCET_START           diff = 0.009990902
72186.764325997 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.774321952 MEMLOG_E_WCET_START           diff = 0.009995955
72186.774322941 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.784321969 MEMLOG_E_WCET_START           diff = 0.009999028
72186.784322907 MEMLOG_E_S1_DONE              diff = 0.000000938
72186.794320945 MEMLOG_E_WCET_START           diff = 0.009998038
72186.794321987 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.804321171 MEMLOG_E_WCET_START           diff = 0.009999184
72186.804322212 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.814321032 MEMLOG_E_WCET_START           diff = 0.009998820
72186.814322073 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.824320580 MEMLOG_E_WCET_START           diff = 0.009998507
72186.824321622 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.834320962 MEMLOG_E_WCET_START           diff = 0.009999340
72186.834322004 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.844321032 MEMLOG_E_WCET_START           diff = 0.009999028
72186.844322125 MEMLOG_E_S1_DONE              diff = 0.000001093
72186.854331049 MEMLOG_E_WCET_START           diff = 0.010008924
72186.854332143 MEMLOG_E_S1_DONE              diff = 0.000001094
72186.864321743 MEMLOG_E_WCET_START           diff = 0.009989600
72186.864322785 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.874325042 MEMLOG_E_WCET_START           diff = 0.010002257
72186.874326084 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.884322090 MEMLOG_E_WCET_START           diff = 0.009996006
72186.884323080 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.894321639 MEMLOG_E_WCET_START           diff = 0.009998559
72186.894322681 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.904321292 MEMLOG_E_WCET_START           diff = 0.009998611
72186.904322333 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.914321309 MEMLOG_E_WCET_START           diff = 0.009998976
