85012.375258433 MEMLOG_E_WCET_START           diff = 0.023796604
85012.383525823 MEMLOG_E_ADATA                diff = 0.008267390 data:0
85012.383547437 MEMLOG_E_S1_DONE              diff = 0.000021614
85012.383547750 MEMLOG_E_S1_RUN               diff = 0.000000313
85012.410922349 MEMLOG_E_WCET_START           diff = 0.027374599
85012.419137083 MEMLOG_E_ADATA                diff = 0.008214734 data:0
85012.419163697 MEMLOG_E_S1_DONE              diff = 0.000026614
85012.419164062 MEMLOG_E_S1_RUN               diff = 0.000000365
85012.443087696 MEMLOG_E_WCET_START           diff = 0.023923634
85012.451380033 MEMLOG_E_ADATA                diff = 0.008292337 data:0
85012.451402377 MEMLOG_E_S1_DONE              diff = 0.000022344
85012.451403158 MEMLOG_E_S1_RUN               diff = 0.000000781
85012.475227366 MEMLOG_E_WCET_START           diff = 0.023824208
85012.483494547 MEMLOG_E_ADATA                diff = 0.008267181 data:112
85012.483519651 MEMLOG_E_S1_DONE              diff = 0.000025104
85012.483519859 MEMLOG_E_S1_RUN               diff = 0.000000208
85012.510891854 MEMLOG_E_WCET_START           diff = 0.027371995
85012.519116276 MEMLOG_E_ADATA                diff = 0.008224422 data:349
85012.519142057 MEMLOG_E_S1_DONE              diff = 0.000025781
85012.519142526 MEMLOG_E_S1_RUN               diff = 0.000000469
85012.543104909 MEMLOG_E_WCET_START           diff = 0.023962383
85012.551401309 MEMLOG_E_ADATA                diff = 0.008296400 data:0
85012.551428549 MEMLOG_E_S1_DONE              diff = 0.000027240
85012.551428861 MEMLOG_E_S1_RUN               diff = 0.000000312
85012.575228798 MEMLOG_E_WCET_START           diff = 0.023799937
85012.583537333 MEMLOG_E_ADATA                diff = 0.008308535 data:0
85012.583560823 MEMLOG_E_S1_DONE              diff = 0.000023490
85012.583561083 MEMLOG_E_S1_RUN               diff = 0.000000260
85012.610889224 MEMLOG_E_WCET_START           diff = 0.027328141
85012.619122656 MEMLOG_E_ADATA                diff = 0.008233432 data:0
85012.619144323 MEMLOG_E_S1_DONE              diff = 0.000021667
85012.619144635 MEMLOG_E_S1_RUN               diff = 0.000000312
85012.643080873 MEMLOG_E_WCET_START           diff = 0.023936238
85012.651370450 MEMLOG_E_ADATA                diff = 0.008289577 data:0
85012.651394825 MEMLOG_E_S1_DONE              diff = 0.000024375
85012.651395085 MEMLOG_E_S1_RUN               diff = 0.000000260
85012.675210439 MEMLOG_E_WCET_START           diff = 0.023815354
85012.683499860 MEMLOG_E_ADATA                diff = 0.008289421 data:0
85012.683521370 MEMLOG_E_S1_DONE              diff = 0.000021510
85012.683521630 MEMLOG_E_S1_RUN               diff = 0.000000260
